wave,flux
4282.999,0.7649589
4283.96,0.7770886
4284.921,0.7697393
4285.882,0.7474458
4286.844,0.7372493
4287.805,0.7497591
4288.766,0.7749745
4289.727,0.7926639
4290.688,0.7880386
4291.649,0.7812898
4292.61,0.7674485
4293.571,0.7504718
4294.533,0.7225516
4295.494,0.6821613
4296.455,0.6405737
4297.416,0.5915869
4298.377,0.5514621
4299.338,0.5204519
4300.299,0.5007959
4301.261,0.4953125
4302.222,0.492332
4303.183,0.4928072
4304.144,0.4826764
4305.105,0.4704844
4306.066,0.4527315
4307.027,0.4390028
4307.988,0.4195026
4308.95,0.4089946
4309.911,0.4231771
4310.872,0.4666738
4311.833,0.5401196
4312.794,0.6190709
4313.755,0.7172961
4314.716,0.8177004
4315.678,0.8995552
4316.639,0.9619662
4317.6,0.9872696
4318.561,0.970479
4319.522,0.9231938
4320.483,0.8674046
4321.444,0.8246949
4322.405,0.7868897
4323.367,0.7561821
4324.328,0.7456915
4325.289,0.76294
4326.25,0.8081092
4327.211,0.8574716
4328.172,0.8876163
4329.133,0.9021929
4330.095,0.9108219
4331.056,0.9164491
4332.017,0.9160905
4332.978,0.9083776
4333.939,0.8954362
4334.9,0.8729911
4335.861,0.8359177
4336.822,0.7993125
4337.784,0.7668524
4338.745,0.7577528
4339.706,0.7467071
4340.667,0.7496178
4341.628,0.7759899
4342.589,0.8047366
4343.55,0.8384421
4344.512,0.8737189
4345.473,0.89469
4346.434,0.9067569
4347.395,0.891039
4348.356,0.8817631
4349.317,0.8597654
4350.278,0.8526568
4351.239,0.8368769
4352.201,0.8169482
4353.162,0.7921149
4354.123,0.7988635
4355.084,0.8014233
4356.045,0.79891
4357.006,0.8056482
4357.967,0.8171006
4358.929,0.8237185
4359.89,0.8207574
4360.851,0.8221645
4361.812,0.8322897
4362.773,0.8365299
4363.734,0.8290969
4364.695,0.8227854
4365.656,0.832496
4366.618,0.8429605
4367.579,0.8344668
4368.54,0.8266868
4369.501,0.8277444
4370.462,0.8229042
4371.423,0.8082947
4372.384,0.8057469
4373.346,0.8095831
4374.307,0.817822
4375.268,0.8161678
4376.229,0.8273128
4377.19,0.8349951
4378.151,0.8378789
4379.112,0.8362862
4380.073,0.8343505
4381.035,0.838475
4381.996,0.8422869
4382.957,0.8339182
4383.918,0.8363894
4384.879,0.8352666
4385.84,0.8389808
4386.801,0.8399869
4387.763,0.8445871
